10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
20,15.0078,13.039,12.1172,11.616,11.31,11.1066,10.963,10.857,10.776,10.7126,10.6619,10.6208,10.5869,10.5588,10.5351,10.5151,10.498,10.4833,10.4707,10.4597,10.4501,10.4416,10.4341,10.4275,10.4215,10.4161,10.4112,10.4066,10.4024,10.3984,10.3945,10.3909,10.3873,10.3837,10.3801,10.3766,10.3729,10.3692,10.3654,10.3614,10.3573,10.353,10.3485,10.3438,10.3389,10.3337,10.3283,10.3225,10.3165,10.3102,10.3036,10.2966,10.2893,10.2816,10.2736,10.2652,10.2564,10.2472,10.2375,10.2274,10.2169,10.2058,10.1943,10.1823,10.1697,10.1566,10.1429,10.1285,10.1135,10.0978,10.0813,10.0641,10.0459,10.0269,10.0068,9.98554,9.96307,9.93921,9.91379,9.8866,9.85737,9.82579,9.79145,9.75384,9.7123,9.66597,9.61368,9.55386,9.4843,9.4018,9.30156,9.17607,9.01286,8.7898,8.46395,7.94282,7.00102,5.01225,0
20,16.9921,15.0311,13.8138,13.0368,12.5173,12.1535,11.8885,11.6889,11.5345,11.4125,11.3144,11.2343,11.1682,11.113,11.0666,11.0272,10.9935,10.9646,10.9396,10.9179,10.8989,10.8822,10.8675,10.8543,10.8425,10.8318,10.822,10.8129,10.8045,10.7966,10.789,10.7816,10.7745,10.7674,10.7603,10.7532,10.746,10.7385,10.7309,10.723,10.7148,10.7062,10.6973,10.6879,10.678,10.6677,10.6568,10.6454,10.6333,10.6207,10.6075,10.5936,10.579,10.5636,10.5476,10.5308,10.5132,10.4947,10.4754,10.4553,10.4342,10.4122,10.3892,10.3651,10.34,10.3138,10.2864,10.2577,10.2277,10.1963,10.1635,10.129,10.0928,10.0547,10.0146,9.97232,9.92753,9.87999,9.82936,9.77523,9.7171,9.65433,9.58617,9.51161,9.4294,9.33788,9.23489,9.11747,8.98154,8.82133,8.62837,8.38985,8.08558,7.68238,7.12319,6.30632,5.04901,3.04799,0
20,17.9295,16.2796,15.0701,14.2,13.5688,13.1017,12.7485,12.4755,12.2606,12.0885,11.9487,11.8339,11.7385,11.6585,11.591,11.5335,11.4843,11.442,11.4054,11.3735,11.3456,11.321,11.2992,11.2798,11.2623,11.2465,11.232,11.2186,11.2062,11.1944,11.1831,11.1722,11.1616,11.1511,11.1405,11.1299,11.1192,11.1081,11.0967,11.0849,11.0726,11.0598,11.0464,11.0324,11.0176,11.0022,10.9859,10.9688,10.9508,10.9319,10.912,10.8912,10.8693,10.8464,10.8223,10.7972,10.7708,10.7432,10.7143,10.6841,10.6525,10.6195,10.585,10.549,10.5114,10.4721,10.4311,10.3882,10.3433,10.2964,10.2472,10.1956,10.1415,10.0847,10.0248,9.96158,9.89474,9.82386,9.74843,9.66787,9.58145,9.48829,9.38728,9.27704,9.15579,9.02129,8.87053,8.69958,8.50307,8.27361,8.00074,7.66937,7.25724,6.73095,6.04011,5.11027,3.8407,2.13069,0
20,18.4463,17.0878,15.9868,15.1246,14.456,13.9362,13.5282,13.2042,12.9438,12.7322,12.5583,12.414,12.2933,12.1916,12.1053,12.0316,11.9683,11.9137,11.8664,11.825,11.7888,11.7569,11.7286,11.7033,11.6805,11.6599,11.641,11.6235,11.6071,11.5917,11.5769,11.5626,11.5486,11.5347,11.5209,11.5069,11.4926,11.478,11.4629,11.4473,11.431,11.414,11.3963,11.3776,11.358,11.3374,11.3158,11.2931,11.2691,11.244,11.2176,11.1899,11.1608,11.1302,11.0983,11.0647,11.0296,10.9929,10.9544,10.9142,10.8722,10.8283,10.7825,10.7346,10.6845,10.6323,10.5777,10.5206,10.461,10.3986,10.3333,10.2648,10.193,10.1176,10.0382,9.95448,9.86602,9.77227,9.67264,9.56636,9.45255,9.33009,9.19763,9.05346,8.89547,8.72093,8.52637,8.30725,8.05757,7.7693,7.43161,7.02965,6.54305,5.94408,5.19603,4.25393,3.07284,1.63406,0
20,18.7679,17.6385,16.6648,15.8554,15.1946,14.6587,14.2238,13.8693,13.5784,13.3381,13.1381,12.9705,12.8292,12.7093,12.607,12.5193,12.4437,12.3782,12.3213,12.2715,12.2278,12.1892,12.1549,12.1242,12.0966,12.0715,12.0485,12.0272,12.0072,11.9883,11.9702,11.9527,11.9355,11.9184,11.9013,11.8841,11.8665,11.8484,11.8297,11.8103,11.7901,11.769,11.7469,11.7238,11.6994,11.6738,11.6468,11.6185,11.5887,11.5574,11.5245,11.4899,11.4537,11.4156,11.3757,11.3339,11.2901,11.2443,11.1963,11.1462,11.0938,11.0391,10.9819,10.9222,10.8599,10.7948,10.7268,10.6557,10.5814,10.5038,10.4225,10.3374,10.2482,10.1545,10.0559,9.95216,9.84256,9.72659,9.60349,9.47241,9.3323,9.1819,9.01967,8.84372,8.65167,8.44061,8.20678,7.94549,7.65064,7.31444,6.92675,6.47456,5.94124,5.3063,4.54599,3.63661,2.56266,1.33272,0
20,18.9868,18.0333,17.1786,16.4375,15.8084,15.2803,14.8391,14.4707,14.1624,13.9037,13.6855,13.5008,13.3436,13.2094,13.0941,12.9948,12.9089,12.8342,12.769,12.712,12.6617,12.6172,12.5776,12.5422,12.5102,12.481,12.4543,12.4295,12.4062,12.3842,12.363,12.3424,12.3222,12.3022,12.282,12.2616,12.2408,12.2194,12.1972,12.1742,12.1502,12.1251,12.0987,12.0711,12.042,12.0114,11.9793,11.9454,11.9099,11.8724,11.8331,11.7917,11.7483,11.7028,11.6551,11.605,11.5526,11.4978,11.4404,11.3805,11.3178,11.2523,11.1839,11.1125,11.038,10.9601,10.8789,10.794,10.7053,10.6126,10.5156,10.4141,10.3078,10.1962,10.079,9.95561,9.82552,9.68802,9.54233,9.38748,9.22235,9.04555,8.85546,8.65006,8.42693,8.18303,7.91468,7.61726,7.28508,6.91104,6.48642,6.00059,5.44107,4.79387,4.04504,3.18384,2.20847,1.13416,0
20,19.146,18.3295,17.5785,16.9078,16.3212,15.8149,15.3815,15.0119,14.697,14.4287,14.1996,14.0035,13.8352,13.6904,13.5653,13.457,13.3628,13.2806,13.2088,13.1456,13.0898,13.0404,12.9963,12.9567,12.9209,12.8882,12.8582,12.8303,12.8041,12.7792,12.7552,12.7318,12.7088,12.686,12.6629,12.6396,12.6157,12.5911,12.5656,12.5391,12.5113,12.4823,12.4519,12.4199,12.3862,12.3507,12.3134,12.2742,12.2328,12.1893,12.1436,12.0956,12.0451,11.9922,11.9367,11.8785,11.8176,11.7539,11.6872,11.6175,11.5446,11.4685,11.389,11.306,11.2194,11.129,11.0346,10.9361,10.8332,10.7257,10.6133,10.4957,10.3726,10.2436,10.1082,9.9658,9.81587,9.65767,9.49033,9.31285,9.12404,8.92251,8.70655,8.47417,8.22293,7.94992,7.65163,7.32382,6.96138,6.55824,6.10727,5.60034,5.02856,4.38308,3.65647,2.84523,1.95322,0.995467,0
20,19.2676,18.5603,17.8982,17.2941,16.7536,16.2768,15.8601,15.4983,15.1851,14.9144,14.6806,14.4784,14.3034,14.1517,14.0198,13.9049,13.8047,13.7169,13.6398,13.5718,13.5117,13.4582,13.4104,13.3674,13.3284,13.2928,13.26,13.2294,13.2006,13.1732,13.1467,13.1209,13.0954,13.0699,13.0442,13.0181,12.9913,12.9637,12.935,12.9051,12.8738,12.841,12.8066,12.7703,12.7321,12.6919,12.6495,12.6049,12.558,12.5085,12.4565,12.4019,12.3445,12.2842,12.2211,12.1548,12.0855,12.0129,11.937,11.8576,11.7746,11.688,11.5975,11.5031,11.4046,11.3018,11.1945,11.0825,10.9657,10.8436,10.7161,10.5829,10.4434,10.2974,10.1443,9.98355,9.81453,9.63646,9.44848,9.24955,9.03849,8.81388,8.57408,8.31712,8.0407,7.7421,7.41813,7.065,6.67838,6.25326,5.7841,5.26492,4.68977,4.05341,3.35254,2.58738,1.76372,0.894485,0
20,19.3641,18.7458,18.1599,17.6168,17.1223,16.6784,16.284,15.936,15.6306,15.3634,15.1299,14.9262,14.7484,14.5931,14.4573,14.3384,14.2341,14.1424,14.0616,13.9902,13.9268,13.8703,13.8197,13.7741,13.7326,13.6947,13.6596,13.6268,13.5958,13.5663,13.5376,13.5096,13.4819,13.4541,13.426,13.3973,13.3679,13.3374,13.3056,13.2725,13.2378,13.2014,13.163,13.1227,13.0801,13.0352,12.9879,12.9381,12.8855,12.8303,12.7721,12.7109,12.6466,12.5792,12.5084,12.4343,12.3566,12.2753,12.1902,12.1013,12.0084,11.9114,11.8101,11.7044,11.5941,11.4791,11.3591,11.2339,11.1033,10.9671,10.8248,10.6762,10.5208,10.3583,10.1881,10.0096,9.82223,9.62518,9.41757,9.1984,8.96648,8.72047,8.45876,8.17954,7.88066,7.55968,7.21376,6.83969,6.43387,5.99235,5.51095,4.98549,4.41218,3.78828,3.11288,2.38804,1.61978,0.81876,0
